"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4796","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/254305","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","16-Jul-2026","Sukhlipura Gram Panchayat","Payment Success","500000"
"4797","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18058/2025-2026/272149","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","16-Jul-2026","Sukhlipura Gram Panchayat","Payment Success","411635"
"4798","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/254387","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","16-Jul-2026","Ankodiya Gram Panchayat","Payment Success","500000"
"4799","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/254384","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","16-Jul-2026","Ankodiya Gram Panchayat","Payment Success","500000"
"4800","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP394/2026-2027/181597","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","15-Jul-2026","SAHAYA THATHEYOUSH S","Payment Success","2000000"
"4801","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18058/2025-2026/254303","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","04-Jul-2026","Sherkhi Gram Panchayat","Payment Success","500000"
"4802","Maharashtra","Setting up of laboratories","WS/MP18369/2026-2027/239318","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","08-Jul-2026","DIGITAL AUDIO VIDEO SOLUTIONS","Payment Success","699650"
"4803","Gujarat","Construction of footpaths and pedestrian ways","WS/	 MP578/2025-2026/241933","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","16-Jul-2026","Kashipura Gram Panchayat","Payment Success","100000"
"4804","Odisha","Construction of rooms and halls in school and colleges","WS/MP18145/2025-2026/230530","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","BAIJAYANT PANDA","KENDRAPARA","05-Jul-2026","JUNIOR ENGINEER MARSHAGHAI BLOCK 7","Payment Success","596261"
"4805","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18051/2026-2027/271571","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","09-Jul-2026","GP BRGF PAJHRAPALI","Payment Success","250000"
"4806","Gujarat","Construction of night shelters for homeless","WS/MP18055/2025-2026/220492","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","05-Jul-2026","GRAM PANCHAYAT TADAVA","Payment Success","400000"
"4807","Madhya Pradesh","Development of public parks","WS/MP18107/2024-2025/163595","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","06-Jul-2026","GURJEET SINGH","Payment Success","2202571"
"4808","Odisha","Construction of rooms and halls in school and colleges","WS/MP18145/2025-2026/185883","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","BAIJAYANT PANDA","KENDRAPARA","05-Jul-2026","SASHI BHUSAN SAHOO","Payment Success","705645"
"4809","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/270940","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","03-Jul-2026","Amit tomar","Payment Success","298004"
"4810","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18108/2025-2026/256422","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","23-Jul-2026","Ramkishan Dubey","Payment Success","196375"
"4811","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18108/2025-2026/256422","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","30-Jul-2026","Ramkishan Dubey","Payment Success","71096"
"4812","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18108/2025-2026/256422","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","30-Jul-2026","Ramkishan Dubey","Payment Success","197686"
"4813","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203951","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","07-Jul-2026","Gurpreet Singh","Payment Success","9257"
"4814","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/209919","SUKMA(Collector Sukma_IDA)","MAHESH KASHYAP","BASTAR(ST)","16-Jul-2026","VIRANI AGRO","Payment Success","249998"
"4815","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2026-2027/215853","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","03-Jul-2026","MAA VAISHNO TRADERS","Payment Success","300000"
"4816","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2026-2027/257822","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","07-Aug-2026","MAA VAISHNO TRADERS","Payment Success","200000"
"4817","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/270992","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT INDRI MAWAI","Payment Success","300000"
"4818","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/271113","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT JHIRIYA","Payment Success","300000"
"4819","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/271123","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT BARKHEDA","Payment Success","300000"
"4820","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP394/2026-2027/197311","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","06-Jul-2026","Prince kumar","Payment Success","989098"
"4821","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP18389/2026-2027/156767","WARANGAL(District Collector Warangal_IDA)","KADIYAM KAVYA","WARANGEL(SC)","04-Jul-2026","SHAPURAM GANESH","Payment Success","399284"
"4822","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","RAJENDRA PRASAD","Payment Success","9072"
"4823","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","MUNNA LAL","Payment Success","9072"
"4824","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","MADAN CHANDRA","Payment Success","8316"
"4825","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18123/2026-2027/220023","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","03-Jul-2026","Abhishek Sanjay Patil Kasaba Tarale Tal Radhanagari","Payment Success","1200000"
"4826","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18023/2026-2027/233948","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","04-Jul-2026","Construction of Crematoriums at Gaon Dimoria","Payment Success","360000"
"4827","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18429/2026-2027/248639","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","20-Jul-2026","SARPANCH GRAM PANCHAYAT ADAMPUR TQ BILOLI","Payment Success","992255"
"4828","Gujarat","Construction of rooms and halls in school and colleges","WS/MP18320/2025-2026/224541","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","03-Jul-2026","B M CONSTRUCTION","Payment Success","500000"
"4829","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18320/2025-2026/215383","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","21-Jul-2026","KUMBHASAN GRAM PANCHAYAT","Payment Success","500000"
"4830","Andhra Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP522/2025-2026/251295","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","07-Jul-2026","Sri Venkateswara Constructions","Payment Success","454338"
"4831","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP761/2026-2027/224007","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Arvind Dharmapuri","NIZAMABAD","04-Jul-2026","K RAMESH REDDY","Payment Success","400000"
"4832","Kerala","Construction of footpaths and pedestrian ways","WS/MP343/2025-2026/246421","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","04-Jul-2026","RAJ KUMAR N","Payment Success","233917"
"4833","Assam","Construction of community centers and community halls","WS/MP18020/2026-2027/253744","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","04-Aug-2026","DEKA BROTHERS EMTERPRISE","Payment Success","84004"
"4834","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18346/2025-2026/202727","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","06-Jul-2026","Satya SaiKalyan Sewa Samiti","Payment Success","388763"
"4835","Bihar","Street lights","WS/MP18041/2025-2026/234364","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4836","Bihar","Street lights","WS/MP18041/2025-2026/234365","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4837","Bihar","Street lights","WS/MP18041/2025-2026/234366","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4838","Bihar","Street lights","WS/MP18041/2025-2026/234370","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4839","Bihar","Street lights","WS/MP18041/2025-2026/234371","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4840","Bihar","Street lights","WS/MP18041/2025-2026/234375","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4841","Bihar","Street lights","WS/MP18041/2025-2026/234236","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4842","Bihar","Street lights","WS/MP18041/2025-2026/234222","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4843","Bihar","Street lights","WS/MP18041/2025-2026/234224","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4844","Bihar","Street lights","WS/MP18041/2025-2026/234229","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4845","Bihar","Street lights","WS/MP18041/2025-2026/234230","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4846","Bihar","Street lights","WS/MP18041/2025-2026/234231","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4847","Bihar","Street lights","WS/MP18041/2025-2026/234232","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4848","Bihar","Street lights","WS/MP18041/2025-2026/234233","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4849","Bihar","Street lights","WS/MP18041/2025-2026/234234","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4850","Bihar","Street lights","WS/MP18041/2025-2026/234362","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","03-Jul-2026","SILIGURI TRADING CENTRE Previously Known as G AND D TRADERS","Payment Success","820100"
"4851","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/216114","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jul-2026","lakhwinder singh","Payment Success","90200"
"4852","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/216114","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jul-2026","LAKHWINDER SINGH","Payment Success","30000"
"4853","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/216114","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jul-2026","LAKHWINDER SINGH","Payment Success","29400"
"4854","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/214083","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","09-Jul-2026","JADU RAIDANGIA","Payment Success","59200"
"4855","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18115/2025-2026/186731","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","DR. PRASHANT YADAORAO PADOLE","BHANDARA-GONDIYA","06-Jul-2026","Bhavesh Ajay Kuthe","Payment Success","697088"
"4856","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP18116/2026-2027/229732","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","03-Jul-2026","Kiran shashikant Gaikwad","Payment Success","996904"
"4857","Karnataka","Providing drains and gutters for public drainage","WS/MP18089/2026-2027/233367","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","14-Jul-2026","MOUNESH","Payment Success","375000"
"4858","Madhya Pradesh","Installation of multi-gym equipment","WS/MP18104/2025-2026/229571","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","24-Jul-2026","YVS Fitness and gym equipment","Payment Success","100000"
"4859","Maharashtra","Construction of community centers and community halls","WS/MP18429/2026-2027/244565","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","07-Jul-2026","Giridhar Digambar PatilDakore","Payment Success","1975637"
"4860","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18352/2025-2026/186282","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","04-Jul-2026","Aparna Construction and Suppliers","Payment Success","406316"
"4861","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2026-2027/161230","CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA)","M. MALLESH BABU","KOLAR(SC)","30-Jul-2026","Rahul K P","Payment Success","249500"
"4862","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP623/2026-2027/235749","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","20-Aug-2026","MAHANTESH B KULAKARNI","Payment Success","247155"
"4863","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2025-2026/225135","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","28-Jul-2026","Manpreet Singh","Payment Success","63920"
"4864","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/196209","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","03-Aug-2026","DHARAMPUR BHALTHI GRAM PANCHAYAT","Payment Success","200000"
"4865","Andaman And Nicobar Islands","Construction of community centers and community halls","WS/MP18275/2025-2026/175559","SOUTH ANDAMANS(Implementing District Authority(SA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","27-Jul-2026","RAMESH CONSTRUCTION","Payment Success","730885"
"4866","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2025-2026/240548","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","30-Jul-2026","DHARAM TRADERS","Payment Success","496994"
"4867","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2025-2026/240547","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","24-Aug-2026","DHARAM TRADERS","Payment Success","489995"
"4868","Jammu And Kashmir","Construction of community centers and community halls","WS/MP600/2025-2026/237888","DODA(Deputy Commissioner Doda_IDA)","Jitendra Singh","UDHAMPUR","18-Jul-2026","Abdul Wahid Magray","Payment Success","417000"
"4869","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274719","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","09-Jul-2026","JILA CHANDRAWANSHI GOULI MAHASABHA SAMITI BHOMA SEONI","Payment Success","375000"
"4870","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274719","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","20-Aug-2026","JILA CHANDRAWANSHI GOULI MAHASABHA SAMITI BHOMA SEONI","Payment Success","125000"
"4871","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/273061","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","08-Jul-2026","GRAM PANCHAYAT CHHUI","Payment Success","150000"
"4872","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/208337","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","07-Jul-2026","Reddys Engineeering Contractors","Payment Success","487552"
"4873","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2026-2027/278731","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","06-Aug-2026","Reddys Engineeering Contractors","Payment Success","499837"
"4874","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2026-2027/278730","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","06-Aug-2026","Reddys Engineeering Contractors","Payment Success","499837"
"4875","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18136/2026-2027/257200","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","09-Jul-2026","FOR SEVA CONSTRUCTION","Payment Success","995588"
"4876","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP346/2025-2026/243200","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","14-Jul-2026","ANUDEV J C","Payment Success","531664"
"4877","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159484","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","11-Jul-2026","KavalYellaiah","Payment Success","125000"
"4878","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18312/2026-2027/211704","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","31-Jul-2026","N RAMALINGAM","Payment Success","1799018"
"4879","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/151157","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","04-Jul-2026","SALADI GRAM PANCHAYAT","Payment Success","300000"
"4880","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/203335","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","09-Jul-2026","Fulpreet Singh","Payment Success","46516"
"4881","Maharashtra","Street lights","WS/MP18126/2025-2026/256645","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4882","Maharashtra","Street lights","WS/MP18126/2025-2026/256648","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4883","Maharashtra","Street lights","WS/MP18126/2025-2026/256649","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4884","Maharashtra","Street lights","WS/MP18126/2025-2026/256650","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4885","Maharashtra","Street lights","WS/MP18126/2025-2026/256647","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4886","Maharashtra","Street lights","WS/MP18126/2025-2026/236143","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4887","Maharashtra","Street lights","WS/MP18126/2025-2026/256652","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4888","Maharashtra","Street lights","WS/MP18126/2025-2026/256653","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4889","Maharashtra","Street lights","WS/MP18126/2025-2026/256654","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4890","Maharashtra","Street lights","WS/MP18126/2025-2026/256655","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4891","Maharashtra","Street lights","WS/MP18126/2025-2026/256644","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4892","Maharashtra","Street lights","WS/MP18126/2025-2026/256651","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4893","Maharashtra","Street lights","WS/MP18126/2025-2026/236326","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4894","Maharashtra","Street lights","WS/MP18126/2025-2026/236332","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4895","Maharashtra","Street lights","WS/MP18126/2025-2026/236327","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
